[id][cost,state,father_id,action,depth,h,value]
[0][0,(0,0),-1,-,0,4,4]
[1][1,(0,1),0,E,1,3,4]
[4][3,(1,1),1,S,2,2,5]
[9][4,(1,2),4,E,3,1,5]
[11][5,(1,3),9,E,4,2,7]
[30][6,(2,3),11,S,5,1,7]
[33][7,(3,3),30,S,6,2,9]
[49][8,(3,4),33,E,7,3,11]
[61][9,(4,4),49,S,8,4,13]
[82][10,(5,4),61,S,9,5,15]
[103][11,(6,4),82,S,10,6,17]
[134][12,(7,4),103,S,11,7,19]
[153][13,(7,5),134,E,12,8,21]
[174][14,(7,6),153,E,13,9,23]
[193][16,(8,6),174,S,14,10,26]
[230][17,(8,7),193,E,15,11,28]
[244][18,(8,8),230,E,16,12,30]
[273][19,(8,9),244,E,17,13,32]
[302][20,(9,9),273,S,18,14,34]
[341][22,(10,9),302,S,19,15,37]
[406][23,(11,9),341,S,20,16,39]
[464][24,(11,10),406,E,21,17,41]
[495][26,(11,11),464,E,22,18,44]
[548][27,(11,12),495,E,23,19,46]
[609][31,(11,13),548,E,24,20,51]
[745][32,(11,14),609,E,25,21,53]
[794][33,(11,15),745,E,26,22,55]
[840][34,(12,15),794,S,27,23,57]
[898][35,(13,15),840,S,28,24,59]
[955][36,(14,15),898,S,29,25,61]
[1025][37,(15,15),955,S,30,26,63]
[1105][38,(16,15),1025,S,31,27,65]
[1171][39,(17,15),1105,S,32,28,67]
[1268][40,(17,16),1171,E,33,29,69]
[1352][41,(17,17),1268,E,34,30,71]
[1410][42,(18,17),1352,S,35,31,73]
[1506][43,(19,17),1410,S,36,32,75]
[1572][44,(20,17),1506,S,37,33,77]
[1641][45,(21,17),1572,S,38,34,79]
[1700][46,(21,18),1641,E,39,35,81]
[1739][47,(21,19),1700,E,40,36,83]
[1783][48,(21,20),1739,E,41,37,85]
[1815][52,(21,21),1783,E,42,38,90]
[1886][53,(21,22),1815,E,43,39,92]
[1902][54,(22,22),1886,S,44,40,94]
[1920][55,(22,23),1902,E,45,41,96]
[1933][56,(22,24),1920,E,46,42,98]
[1940][57,(23,24),1933,S,47,43,100]
[1956][61,(24,24),1940,S,48,44,105]
